tier,wave,name,country,segment,garment_arm,price_band,super_range,swatch_program,moq,cut_lengths,ships_us,contact_person,contact_email,contact_phone,contact_url,evidence,status,date_sent,channel,replied,reply_date,terms_quoted,swatches_received,next_action,owner_notes
"B","1","Ariston Napoli","Italy","suiting","false","~$40-90/m forum references","mixed","Bunch catalogs online; via US agent","","cut-length house","true","US agent: Kemp & Hewitt","orders@kempandhewitt.com","203-838-3000","","VERIFIED","not_contacted","","","","","","","",""
"B","1","Fabric Mart","USA","both","false","$2-8 sale; $18-40 regular","","Paid 'Julie's Picks' club (capped 500 members)","None","true","true","","","","fabricmartfabrics.com","VERIFIED","not_contacted","","","","","","","",""
"B","1","Fashion Fabrics Club / Fabric Depot","USA","both","false","$8-15/yd suiting","","Paid 1/4-yd swatches, max 5 per order","None","true","true","","","","fashionfabricsclub.com","VERIFIED","not_contacted","","","","","","","",""
"B","1","Getzner Textil","Austria","shirting","false","Mid band, not published","","Seasonal collections to accounts","Published: 360 m/colour collection min; ~60 m basic rolls; 1.5 m MTM cut lengths for approved shirtmakers","1.5 m via MTM program","via rep","","","+43 5552 601-0","getzner.at inquiry","VERIFIED","not_contacted","","","","","","","",""
"B","1","Hangzhou K&M Textile","China","suiting","unknown","Quote-based (TR 199 gsm)","","Free A4 samples","Listed as 1 m - confirm real tier","partial","true","Jenny","jenny@kmtextile.net","","","VERIFIED","not_contacted","","","","","","","",""
"B","1","Hangzhou Six Dragon Textile","China","shirting","false","Quote-based; cotton twill / poly-cotton wholesale","","Not published","","false","true","Jack Wang","gm@sixdragontextile.com","+86-15988150362 (WhatsApp)","https://www.sixdragontextile.com","VERIFIED","not_contacted","","","","","","","",""
"B","1","Harrisons / Lesser / Smith / W.Bill / P&H (LBD group)","UK","suiting","false","~GBP 60-120/m retail references","Super 100s-180s across the stable","Bunch system; stock checker; account number required","","true","true","","","US: Kemp & Hewitt 203-838-3000","","VERIFIED","not_contacted","","","","","","","",""
"B","1","Holland & Sherry","UK","suiting","false","~$60-150+/yd","Super 100s-180s+","All bunch books browsable free online; account via NY rep","","true","true","","","212-758-1911","","VERIFIED","not_contacted","","","","","","","",""
"B","2","Jiangsu Jianlu Worsted Co., Ltd","China (Jiangsu)","suiting","false","Not published - quote required","Worsted - confirm Super range","Not published - ask","Not published","unknown","true","","","","jianlufabric.en.made-in-china.com","LIKELY","not_contacted","","","","","","","",""
"B","2","Jiangsu Lianfa Textile (DOUBLECOIN)","China (Hai'an, Nantong)","shirting","true","Not published - quote required","","Not published - ask","Piece-goods scale","unlikely","true","","","+86 513 8886 9069","lianfa.cn/en","VERIFIED","not_contacted","","","","","","","",""
"B","2","Jiangsu Sunshine Group","China (Jiangyin)","suiting","true","Not published - quote required","High-count superfine worsted - confirm exact Super ceiling","Not published - ask","Piece-goods scale","unlikely","true","","","","china-sunshine.com","LIKELY","not_contacted","","","","","","","",""
"B","1","John Foster","UK","suiting","false","Not published","mixed incl. high Supers","Trade bunches; Mill Archive one-offs","","via Pepper Lee","true","","","","john-foster.co.uk","LIKELY","not_contacted","","","","","","","",""
"B","1","Lanificio Cerruti","Italy","suiting","false","$50-100/yd remnant references","Super 150s-200s","Dedicated bunch email; e-shop with Piacenza","","fabrics.piacenza1733.com","true","","bunch@lanificiocerruti.com","US bespoke: Antoniades +1 212 935 0111","","VERIFIED","not_contacted","","","","","","","",""
"B","1","Luthai Textile","China","shirting","true","~$6.80/m dealer reference","","Not published","","false","true","","","","luthai.com","LIKELY","not_contacted","","","","","","","",""
"B","1","Marzotto / Guabello","Italy","suiting","false","Not published (entry-premium)","Super 110s-150s","None published","Piece-goods oriented","via distributors","true","","","Marzotto USA 212-944-0196","","LIKELY","not_contacted","","","","","","","",""
"B","2","MH Textile (mh-chine)","China","shirting","false","Quote-based","","Not published - ask","Not published","unknown","true","","","","mh-chine.com","VERIFIED","not_contacted","","","","","","","",""
"B","2","Raymond (fabric division)","India","suiting","true","Not published - quote required","Super 100s-180s+ across ranges","Not published - ask","Not published","unknown","true","Sonam Gupta","sonam.gupta@raymond.in","+91-9820444904","raymond.in","LIKELY","not_contacted","","","","","","","",""
"B","1","Reda 1865","Italy","suiting","false","Not published (mid-premium)","Super 110s-170s","None published","","Reda Shop","true","","","","reda1865.com","LIKELY","not_contacted","","","","","","","",""
"B","1","Soktas","Turkey","shirting","false","~$15-35/yd historical","","Not published","","unknown","unclear","","","","soktas.com.tr","LIKELY","not_contacted","","","","","","","",""
"B","1","Tollegno 1900","Italy","suiting","false","Not published","Super 110s-150s","None published","","unknown","true","","info@tollegno1900.it","","","VERIFIED","not_contacted","","","","","","","",""
"B","1","Yardblox","USA (ships US)","both","false","~$12-26+/yd","","Free-ish colour cards for most in-stock fabrics; 1-yd samples; no minimums","None","true","true","","hello@yardblox.com","","","VERIFIED","not_contacted","","","","","","","",""
"B","1","Zelouf Fabrics","USA (NY)","both","false","Not published; $20 minimum order","","Free swatches with wholesale-account registration","$20","true","true","","","","zelouffabrics.com/pages/wholesale","VERIFIED","not_contacted","","","","","","","",""
"C","1","Bhilwara cluster (Mascot, Oxford Intl, Siddhartha, Ekta, Dheer Dada)","India","suiting","unknown","INR 70-210/m (~$0.85-2.50/m) PV suiting, 100-450 gsm","","Free swatch sets on inquiry (convention)","200-500 m per fabric","false","true","","","","via ExportersIndia listings","UNVERIFIED","not_contacted","","","","","","","",""
"C","1","Caccioppoli","Italy (Naples)","suiting","false","~$100/m secondary references","high","Bunches are core business; via US distributor","","24-48 h dispatch","true","","","US: Jodek 800-325-4668","","VERIFIED","not_contacted","","","","","","","",""
"C","1","Dormeuil","France","suiting","false","Mid-premium to Vanquish","Super 110s-180s+","Books allocated selectively to accounts","","true","true","","","800-416-4144","","LIKELY","not_contacted","","","","","","","",""
"C","1","Fox Brothers","UK","suiting","false","GBP 82-92/m (2017 reference)","n/a - flannel/heavier","Per-product swatches for anyone","None","public webshop","true","","info@foxflannel.com","","","VERIFIED","not_contacted","","","","","","","",""
"C","1","Hangzhou Jinfeng","China","suiting","unknown","Quote-based TR","","Not published","","false","true","","","+86-571-8299-5618","","VERIFIED","not_contacted","","","","","","","",""
"C","1","Hebei Xingye","China","suiting","unknown","TR band $0.60-3.00/m","","Free samples; you pay courier (~$25-40), refunded on first order - stated verbatim","110 m+ via traders","false","true","","","+86 155 1161 6069 (WhatsApp)","","VERIFIED","not_contacted","","","","","","","",""
"C","2","Huzhou Shichang Textile Co., Ltd","China (Huzhou)","shirting","false","Quote-based","","Not published - ask","Not published","unknown","true","","","","sctextile.goldsupplier.com","LIKELY","not_contacted","","","","","","","",""
"C","2","Mafatlal Industries","India","both","unknown","Not published","","Not published - ask","Not published","unknown","unknown","","","","mafatlals.com","UNVERIFIED","not_contacted","","","","","","","",""
"C","1","Scabal","Belgium","suiting","false","Tiered ('Smart' to 'Bentley')","Super 100s-180s+","~80 live bunches; Business Solutions enquiry","","24-h claim","true","","","Scabal USA NYC 212-764-8580","","VERIFIED","not_contacted","","","","","","","",""
"C","1","Siyaram's / Donear","India","both","true","Not published (PV suiting/shirting)","","Via channel-partner / dealer program","","false","true","","info@donear.com","","siyaram.com","VERIFIED","not_contacted","","","","","","","",""
"C","2","Wooltex (China)","China","suiting","true","Not published","Not published","Not published","Not published","unknown","unknown","","","","wooltex.com","LIKELY","not_contacted","","","","","","","",""
"C","2","Yutai Textiles","China","shirting","false","Quote-based","","Not published - ask","Customizable","unknown","true","","","","yutaitextiles.com","LIKELY","not_contacted","","","","","","","",""
"D","1","Ermenegildo Zegna (cloth division)","Italy","suiting","true",">$100/yd (Trofeo)","Super 130s-180s+","Via US rep only","","via Kemp & Hewitt","true","","orders@kempandhewitt.com","","","VERIFIED","not_contacted","","","","","","","",""
"D","1","Global Fabric Wholesale","China","suiting","unknown","Quote-based; wool blends 180-350 gsm","","'Free Samples!' advertised","Bulk tier ~300 kg","false","true","","","+86 134 1118 9544","","VERIFIED","not_contacted","","","","","","","",""
"D","1","Loro Piana","Italy","suiting","true","Mostly >$150/yd - above band","Super 150s-250s","B2B textile portal request form","","via merchants","true","","","","loropiana.com/textile","LIKELY","not_contacted","","","","","","","",""
