craftId,product,label,inScope,drawing,drawingStatus,flags,approved,unreviewed,rejected,refs,externals
"shirt|collar|lapel|collar-mid-cutaway-70","shirt","Middle Cut-Away 7.0 cm",yes,"/images/techpacks/shirt/lapel/middle-cut-away-in-7cm.jpg","drawing-unverified","DRAWING_UNCONFIRMED",0,9,0,0,0
"shirt|collar|lapel|collar-mid-cutaway-70-btn","shirt","Middle Cut-Away 7.0 cm with Button",yes,"/images/techpacks/shirt/lapel/middle-cut-away-in-7cm-with-button.jpg","drawing-unverified","DRAWING_UNCONFIRMED",0,5,0,0,0
"shirt|collar|lapel|collar-regular-19","shirt","Regular Collar 19",yes,"/images/techpacks/shirt/lapel/regular-collar-19.jpg","verified-match","",0,7,1,0,0
"shirt|collar|lapel|collar-mid-cutaway-85","shirt","Middle Cut-Away 8.5 cm",yes,"/images/blueprints/baoxiniao/shirt/REQCL/8.jpg","drawing-unverified","DRAWING_UNCONFIRMED",1,6,0,0,0
"shirt|collar|lapel|collar-large-round-53","shirt","Large Round 5.3 cm",yes,"/images/techpacks/shirt/lapel/large-round-in-53cm.jpg","drawing-unverified","DRAWING_UNCONFIRMED",0,3,0,0,0
"shirt|collar|lapel|collar-round-53","shirt","Round 5.3 cm",yes,"/images/techpacks/shirt/lapel/round-in-53cm.jpg","drawing-unverified","DRAWING_UNCONFIRMED",0,3,0,0,0
"shirt|collar|lapel|collar-large-cutaway-82","shirt","Large Cut-Away 8.2 cm",yes,"/images/techpacks/shirt/lapel/large-cut-away-in-82cm.jpg","verified-match","",1,7,0,0,0
"shirt|collar|lapel|collar-large-cutaway-80","shirt","Large Cut-Away 8.0 cm",yes,"/images/techpacks/shirt/lapel/large-cut-away-in-8cm.jpg","drawing-unverified","DRAWING_UNCONFIRMED",0,3,0,0,0
"shirt|collar|lapel|collar-cutaway-55-btn","shirt","Cut-Away 5.5 cm with Button",yes,"/images/techpacks/shirt/lapel/cut-away-in-55cm-with-button.jpg","drawing-unverified","DRAWING_UNCONFIRMED",0,3,0,0,0
"shirt|collar|lapel|collar-cutaway-55","shirt","Cut-Away 5.5 cm",yes,"/images/techpacks/shirt/lapel/cut-away-in-55cm.jpg","drawing-unverified","DRAWING_UNCONFIRMED",0,6,0,0,0
"shirt|collar|lapel|collar-dbl-cutaway-55-btn","shirt","Double Cut-Away 5.5 cm with Button",yes,"/images/techpacks/shirt/lapel/double-cut-away-collar-in-55cm-with-button.jpg","verified-match","HAS_OWNER_REFS",0,8,1,6,0
"shirt|collar|lapel|collar-large-cutaway-75","shirt","Large Cut-Away 7.5 cm",yes,"/images/techpacks/shirt/lapel/large-cut-away-in-75cm.jpg","drawing-unverified","DRAWING_UNCONFIRMED",0,3,0,0,0
"shirt|collar|lapel|collar-curved-80","shirt","Curved 8.0 cm",yes,"/images/techpacks/shirt/lapel/curved-in-8cm.jpg","verified-match","",0,4,0,0,0
"shirt|collar|lapel|collar-curved-90","shirt","Curved 9.0 cm",yes,"/images/techpacks/shirt/lapel/curved-in-9cm.jpg","verified-match","",0,4,0,0,0
"shirt|collar|lapel|collar-french-75","shirt","French 7.5 cm",yes,"","missing","NO_DRAWING",0,4,0,0,0
"shirt|collar|lapel|collar-regular-21","shirt","Regular Collar 21",yes,"/images/techpacks/shirt/lapel/regular-collar-21.jpg","verified-match","",1,4,0,0,0
"shirt|collar|lapel|collar-french-80","shirt","French 8.0 cm",yes,"/images/techpacks/shirt/lapel/french-in-8cm.jpg","drawing-unverified","DRAWING_UNCONFIRMED",0,4,0,0,0
"shirt|collar|lapel|collar-stand-50","shirt","Stand Collar 5.0 cm",yes,"/images/blueprints/baoxiniao/shirt/REQCL/94.jpg","drawing-unverified","DRAWING_UNCONFIRMED",0,3,0,0,0
"shirt|collar|lapel|collar-one-collar","shirt","One Collar (Band / Mandarin)",yes,"","missing","NO_DRAWING|EXTERNAL_WEB_PHOTO",0,1,0,0,2
"shirt|collar|lapel|collar-tuxedo","shirt","Tuxedo Collar",yes,"","missing","DRAWING_IS_PHOTO|NO_DRAWING",0,4,0,0,0
"shirt|collar|lapel|collar-rounded-stand","shirt","Rounded Stand Collar",yes,"","missing","DRAWING_IS_PHOTO|NO_DRAWING",0,3,0,0,0
"shirt|collar|lapel|collar-squared-stand","shirt","Squared Stand Collar",yes,"/images/techpacks/shirt/lapel/squared-stand-collar.jpg","drawing-unverified","DRAWING_UNCONFIRMED",0,4,0,0,0
"shirt|collar|lapel|collar-hexagon-stand","shirt","Hexagon Stand Collar",yes,"/images/techpacks/shirt/lapel/hexagon-stand-collar.jpg","drawing-unverified","DRAWING_UNCONFIRMED|HAS_OWNER_REFS",0,10,1,2,0
"shirt|collar|lapel|collar-sq-stand-no-btn","shirt","Square Stand (No Button)",yes,"","missing","DRAWING_IS_PHOTO|NO_DRAWING",0,2,0,0,0
"shirt|collar|lapel|collar-rolled-stand","shirt","Rolled Stand Collar",yes,"/images/techpacks/shirt/lapel/rolled-stand-collar.jpg","drawing-unverified","DRAWING_UNCONFIRMED",0,3,0,0,0
"shirt|collar|lapel|collar-one-piece-75-tab","shirt","One-Piece 7.5 cm with Tab",yes,"/images/techpacks/shirt/lapel/one-piece-collar-in-75cm-with-tab.jpg","drawing-unverified","DRAWING_UNCONFIRMED",0,3,0,0,0
"shirt|collar|lapel|collar-one-piece-80-tab","shirt","One-Piece 8.0 cm with Tab",yes,"/images/blueprints/baoxiniao/shirt/REQCL/105.jpg","drawing-unverified","DRAWING_UNCONFIRMED",0,4,0,0,0
"shirt|collar|lapel|collar-one-piece-85-tab","shirt","One-Piece 8.5 cm with Tab",yes,"/images/blueprints/baoxiniao/shirt/REQCL/99.jpg","drawing-unverified","DRAWING_UNCONFIRMED",0,4,0,0,0
"shirt|collar|lapel|collar-one-piece-90-tab","shirt","One-Piece 9.0 cm with Tab",yes,"/images/blueprints/baoxiniao/shirt/REQCL/104.jpg","drawing-unverified","DRAWING_UNCONFIRMED",0,4,0,0,0
"shirt|collar|lapel|collar-std-75-stand","shirt","Standard with 7.5 cm Collar Stand",yes,"","missing","DRAWING_IS_PHOTO|NO_DRAWING",0,2,0,0,0
"shirt|collar|lapel|collar-point-85-btn","shirt","Point 8.5 cm with Button",yes,"/images/techpacks/shirt/lapel/point-in-85cm-with-button.jpg","drawing-unverified","DRAWING_UNCONFIRMED",0,10,0,0,0
"shirt|collar|lapel|collar-cuban","shirt","Cuban Collar",yes,"/images/blueprints/baoxiniao/shirt/REQCL/A114.jpg","drawing-unverified","DRAWING_UNCONFIRMED|HAS_OWNER_REFS",0,10,1,3,0
"shirt|collar|lapel|collar-dr-point-58","shirt","DR Point 5.8 cm",yes,"/images/blueprints/baoxiniao/shirt/REQCL/A115.jpg","drawing-unverified","DRAWING_UNCONFIRMED",0,9,0,0,0
"shirt|collar|lapel|collar-button-down-78","shirt","Button-Down 7.8 cm Stand",yes,"/images/techpacks/shirt/lapel/button-down-collar-with-78cm-stand.jpg","drawing-unverified","DRAWING_UNCONFIRMED",1,5,0,0,0
"shirt|collar|lapel|collar-frog-mandarin","shirt","Frog-Fastening Mandarin (Rounded)",yes,"","missing","DRAWING_IS_PHOTO|NO_DRAWING",0,4,0,0,0
"shirt|collar|decoration_stitching_on_collar|stitch-none","shirt","None",yes,"/images/decoration_stitching_on_collar/none.jpg","drawing-unverified","DRAWING_UNCONFIRMED",0,2,0,0,0
"shirt|collar|decoration_stitching_on_collar|stitch-01-top","shirt","Machine 0.1 cm Top Stitching",yes,"/images/techpacks/shirt/decoration_stitching_on_collar/machine-01cm-top-stitching.jpg","drawing-unverified","DRAWING_UNCONFIRMED",0,6,0,0,0
"shirt|collar|decoration_stitching_on_collar|stitch-03-top","shirt","Machine 0.3 cm Top Stitching",yes,"/images/techpacks/shirt/decoration_stitching_on_collar/machine-03cm-top-stitching.jpg","drawing-unverified","DRAWING_UNCONFIRMED",0,2,0,0,0
"shirt|collar|decoration_stitching_on_collar|stitch-05-top","shirt","Machine 0.5 cm Top Stitching",yes,"/images/techpacks/shirt/decoration_stitching_on_collar/machine-05cm-top-stitching.jpg","drawing-unverified","DRAWING_UNCONFIRMED",0,2,0,0,0
"shirt|collar|decoration_stitching_on_collar|stitch-06-top","shirt","Machine 0.6 cm Top Stitching",yes,"/images/techpacks/shirt/decoration_stitching_on_collar/machine-06cm-top-stitching.jpg","drawing-unverified","DRAWING_UNCONFIRMED",0,2,0,0,0
"shirt|collar|decoration_stitching_on_collar|stitch-01-amf","shirt","Machine 0.1 cm AMF Stitching",yes,"/images/techpacks/shirt/decoration_stitching_on_collar/machine-01cm-amf-stitching.jpg","drawing-unverified","DRAWING_UNCONFIRMED",0,2,0,0,0
"shirt|collar|decoration_stitching_on_collar|stitch-03-amf","shirt","Machine 0.3 cm AMF Stitching",yes,"/images/techpacks/shirt/decoration_stitching_on_collar/machine-03cm-amf-stitching.jpg","drawing-unverified","DRAWING_UNCONFIRMED",0,2,0,0,0
"shirt|collar|decoration_stitching_on_collar|stitch-05-amf","shirt","Machine 0.5 cm AMF Stitching",yes,"/images/techpacks/shirt/decoration_stitching_on_collar/machine-05cm-amf-stitching.jpg","drawing-unverified","DRAWING_UNCONFIRMED",0,2,0,0,0
"shirt|collar|decoration_stitching_color_on_collar|yz-match","shirt","Matching to Fabric",no,"/images/decoration_stitching_color_on_collar/matching-to-fabric.jpg","drawing-unverified","DRAWING_UNCONFIRMED",0,1,0,0,0
"shirt|collar|decoration_stitching_color_on_collar|yz-021","shirt","YZ021",no,"/images/buttonhole_thread_color_collar_band/yz021.jpg","drawing-unverified","DRAWING_UNCONFIRMED",0,1,0,0,0
"shirt|collar|decoration_stitching_color_on_collar|yz-036","shirt","YZ036",no,"/images/buttonhole_thread_color_collar_band/yz036.jpg","drawing-unverified","DRAWING_UNCONFIRMED",0,1,0,0,0
"shirt|collar|decoration_stitching_color_on_collar|yz-029","shirt","YZ029",no,"/images/buttonhole_thread_color_collar_band/yz029.jpg","drawing-unverified","DRAWING_UNCONFIRMED",0,1,0,0,0
"shirt|collar|decoration_stitching_color_on_collar|yz-024","shirt","YZ024",no,"/images/buttonhole_thread_color_collar_band/yz024.jpg","drawing-unverified","DRAWING_UNCONFIRMED",0,1,0,0,0
"shirt|collar|decoration_stitching_color_on_collar|yz-010","shirt","YZ010",no,"/images/buttonhole_thread_color_collar_band/yz010.jpg","drawing-unverified","DRAWING_UNCONFIRMED",0,1,0,0,0
"shirt|collar|decoration_stitching_color_on_collar|yz-011","shirt","YZ011",no,"/images/buttonhole_thread_color_collar_band/yz011.jpg","drawing-unverified","DRAWING_UNCONFIRMED",0,1,0,0,0
"shirt|collar|decoration_stitching_color_on_collar|yz-027","shirt","YZ027",no,"/images/buttonhole_thread_color_collar_band/yz027.jpg","drawing-unverified","DRAWING_UNCONFIRMED",0,1,0,0,0
"shirt|collar|decoration_stitching_color_on_collar|yz-040","shirt","YZ040",no,"/images/buttonhole_thread_color_collar_band/yz040.jpg","drawing-unverified","DRAWING_UNCONFIRMED",0,1,0,0,0
"shirt|collar|decoration_stitching_color_on_collar|yz-014","shirt","YZ014",no,"/images/buttonhole_thread_color_collar_band/yz014.jpg","drawing-unverified","DRAWING_UNCONFIRMED",0,1,0,0,0
"shirt|collar|decoration_stitching_color_on_collar|yz-012","shirt","YZ012",no,"/images/buttonhole_thread_color_collar_band/yz012.jpg","drawing-unverified","DRAWING_UNCONFIRMED",0,1,0,0,0
"shirt|collar|decoration_stitching_color_on_collar|yz-031","shirt","YZ031",no,"/images/buttonhole_thread_color_collar_band/yz031.jpg","drawing-unverified","DRAWING_UNCONFIRMED",0,1,0,0,0
"shirt|collar|decoration_stitching_color_on_collar|yz-032","shirt","YZ032",no,"/images/buttonhole_thread_color_collar_band/yz032.jpg","drawing-unverified","DRAWING_UNCONFIRMED",0,1,0,0,0
"shirt|collar|decoration_stitching_color_on_collar|yz-035","shirt","YZ035",no,"/images/buttonhole_thread_color_collar_band/yz035.jpg","drawing-unverified","DRAWING_UNCONFIRMED",0,1,0,0,0
"shirt|collar|decoration_stitching_color_on_collar|yz-049","shirt","YZ049",no,"/images/buttonhole_thread_color_collar_band/yz049.jpg","drawing-unverified","DRAWING_UNCONFIRMED",0,1,0,0,0
"shirt|collar|decoration_stitching_color_on_collar|yz-042","shirt","YZ042",no,"/images/buttonhole_thread_color_collar_band/yz042.jpg","drawing-unverified","DRAWING_UNCONFIRMED",0,1,0,0,0
"shirt|collar|decoration_stitching_color_on_collar|yz-018","shirt","YZ018",no,"/images/buttonhole_thread_color_collar_band/yz018.jpg","drawing-unverified","DRAWING_UNCONFIRMED",0,1,0,0,0
"shirt|collar|decoration_stitching_color_on_collar|yz-030","shirt","YZ030",no,"/images/buttonhole_thread_color_collar_band/yz030.jpg","drawing-unverified","DRAWING_UNCONFIRMED",0,1,0,0,0
"shirt|collar|decoration_stitching_color_on_collar|yz-022","shirt","YZ022",no,"/images/buttonhole_thread_color_collar_band/yz022.jpg","drawing-unverified","DRAWING_UNCONFIRMED",0,1,0,0,0
"shirt|collar|decoration_stitching_color_on_collar|yz-028","shirt","YZ028",no,"/images/buttonhole_thread_color_collar_band/yz028.jpg","drawing-unverified","DRAWING_UNCONFIRMED",0,1,0,0,0
"shirt|collar|decoration_stitching_color_on_collar|yz-008","shirt","YZ008",no,"/images/buttonhole_thread_color_collar_band/yz008.jpg","drawing-unverified","DRAWING_UNCONFIRMED",0,1,0,0,0
"shirt|collar|decoration_stitching_color_on_collar|yz-053","shirt","YZ053",no,"/images/buttonhole_thread_color_collar_band/yz053.jpg","drawing-unverified","DRAWING_UNCONFIRMED",0,1,0,0,0
"shirt|collar|decoration_stitching_color_on_collar|yz-015","shirt","YZ015",no,"/images/buttonhole_thread_color_collar_band/yz015.jpg","drawing-unverified","DRAWING_UNCONFIRMED",0,1,0,0,0
"shirt|collar|decoration_stitching_color_on_collar|yz-019","shirt","YZ019",no,"/images/buttonhole_thread_color_collar_band/yz019.jpg","drawing-unverified","DRAWING_UNCONFIRMED",0,1,0,0,0
"shirt|collar|decoration_stitching_color_on_collar|yz-045","shirt","YZ045",no,"/images/buttonhole_thread_color_collar_band/yz045.jpg","drawing-unverified","DRAWING_UNCONFIRMED",0,1,0,0,0
"shirt|collar|decoration_stitching_color_on_collar|yz-017","shirt","YZ017",no,"/images/buttonhole_thread_color_collar_band/yz017.jpg","drawing-unverified","DRAWING_UNCONFIRMED",0,1,0,0,0
"shirt|collar|decoration_stitching_color_on_collar|yz-034","shirt","YZ034",no,"/images/buttonhole_thread_color_collar_band/yz034.jpg","drawing-unverified","DRAWING_UNCONFIRMED",0,1,0,0,0
"shirt|collar|decoration_stitching_color_on_collar|yz-050","shirt","YZ050",no,"/images/buttonhole_thread_color_collar_band/yz050.jpg","drawing-unverified","DRAWING_UNCONFIRMED",0,1,0,0,0
"shirt|collar|decoration_stitching_color_on_collar|yz-025","shirt","YZ025",no,"/images/buttonhole_thread_color_collar_band/yz025.jpg","drawing-unverified","DRAWING_UNCONFIRMED",0,1,0,0,0
"shirt|collar|decoration_stitching_color_on_collar|yz-041","shirt","YZ041",no,"/images/buttonhole_thread_color_collar_band/yz041.jpg","drawing-unverified","DRAWING_UNCONFIRMED",0,1,0,0,0
"shirt|collar|decoration_stitching_color_on_collar|yz-016","shirt","YZ016",no,"/images/buttonhole_thread_color_collar_band/yz016.jpg","drawing-unverified","DRAWING_UNCONFIRMED",0,1,0,0,0
"shirt|collar|decoration_stitching_color_on_collar|yz-026","shirt","YZ026",no,"/images/buttonhole_thread_color_collar_band/yz026.jpg","drawing-unverified","DRAWING_UNCONFIRMED",0,1,0,0,0
"shirt|collar|decoration_stitching_color_on_collar|yz-054","shirt","YZ054",no,"/images/buttonhole_thread_color_collar_band/yz054.jpg","drawing-unverified","DRAWING_UNCONFIRMED",0,1,0,0,0
"shirt|collar|decoration_stitching_color_on_collar|yz-037","shirt","YZ037",no,"/images/buttonhole_thread_color_collar_band/yz037.jpg","drawing-unverified","DRAWING_UNCONFIRMED",0,1,0,0,0
"shirt|collar|collar_splicing|splice-none","shirt","None",yes,"/images/collar_splicing/none.jpg","drawing-unverified","DRAWING_UNCONFIRMED",0,4,0,0,0
"shirt|collar|collar_splicing|splice-lower-top-collar","shirt","Lower Part of Top Collar",yes,"/images/collar_splicing/lower-part-of-top-collar.jpg","drawing-unverified","DRAWING_UNCONFIRMED",0,2,0,0,0
"shirt|collar|collar_splicing|splice-upper-top-collar","shirt","Upper Part of Top Collar",yes,"/images/collar_splicing/upper-part-of-top-collar.jpg","drawing-unverified","DRAWING_UNCONFIRMED",0,2,0,0,0
"shirt|collar|collar_splicing|splice-strip-mid-collar","shirt","Strip in Middle Top Collar",yes,"/images/collar_splicing/strip-in-middle-top-collar.jpg","drawing-unverified","DRAWING_UNCONFIRMED",0,4,0,0,0
"shirt|collar|collar_splicing|splice-point-opening","shirt","Collar Point Opening Edge",yes,"/images/collar_splicing/collar-point-opening-edge.jpg","drawing-unverified","DRAWING_UNCONFIRMED",0,2,0,0,0
"shirt|collar|collar_splicing|splice-4cm-from-point","shirt","4 cm to Collar Point Opening Edge",yes,"/images/collar_splicing/4cm-to-collar-point-opening-edge.jpg","drawing-unverified","DRAWING_UNCONFIRMED",0,6,0,0,0
"shirt|collar|collar_splicing|splice-15cm-from-point","shirt","1.5 cm to Collar Point Opening Edge",yes,"/images/collar_splicing/15cm-to-collar-point-opening-edge.jpg","drawing-unverified","DRAWING_UNCONFIRMED",0,4,0,0,0
"shirt|collar|collar_splicing|splice-single-left-placket","shirt","Single Left Placket Edge",yes,"/images/collar_splicing/single-left-placket-edge.jpg","verified-match","",0,4,0,0,0
"shirt|collar|collar_splicing|splice-double-left-placket","shirt","Double Left Placket Edges",yes,"/images/collar_splicing/double-left-placket-edges.jpg","drawing-unverified","DRAWING_UNCONFIRMED",0,2,0,0,0
"shirt|collar|collar_splicing|splice-top-collar-edge","shirt","Top Collar Edge",yes,"/images/collar_splicing/top-collar-edge.jpg","drawing-unverified","DRAWING_UNCONFIRMED",0,4,0,0,0
"shirt|collar|collar_splicing|splice-triangle-point","shirt","Triangle Collar Point",yes,"/images/collar_splicing/triangle-collar-point.jpg","verified-match","",0,2,0,0,0
"shirt|collar|collar_splicing|splice-upper-cuff","shirt","Upper Sleeve Cuff",yes,"/images/collar_splicing/upper-sleeve-cuff.jpg","drawing-unverified","DRAWING_UNCONFIRMED",0,5,0,0,0
"shirt|collar|collar_splicing|splice-lower-cuff","shirt","Lower Sleeve Cuff",yes,"/images/collar_splicing/lower-sleeve-cuff.jpg","drawing-unverified","DRAWING_UNCONFIRMED",0,7,0,0,0
"shirt|collar|collar_splicing|splice-cuff-edge","shirt","Cuff Edge",yes,"/images/collar_splicing/cuff-edge.jpg","drawing-unverified","DRAWING_UNCONFIRMED",0,5,0,0,0
"shirt|collar|collar_splicing|splice-strip-mid-cuff","shirt","Strip in Middle Cuff",yes,"/images/collar_splicing/strip-in-middle-cuff.jpg","drawing-unverified","DRAWING_UNCONFIRMED",0,5,0,0,0
"shirt|collar|cut_out_fabric|cf-EMC70847","shirt","EMC70847",yes,"/images/cut_out_fabric/emc70847.jpg","drawing-unverified","DRAWING_UNCONFIRMED",0,1,0,0,0
"shirt|collar|cut_out_fabric|cf-EMC80132","shirt","EMC80132",yes,"/images/cut_out_fabric/emc80132.jpg","drawing-unverified","DRAWING_UNCONFIRMED",0,1,0,0,0
"shirt|collar|cut_out_fabric|cf-RMC39040","shirt","RMC39040",yes,"/images/cut_out_fabric/rmc39040.jpg","drawing-unverified","DRAWING_UNCONFIRMED",0,1,0,0,0
"shirt|collar|cut_out_fabric|cf-RMC39091","shirt","RMC39091",yes,"/images/cut_out_fabric/rmc39091.jpg","drawing-unverified","DRAWING_UNCONFIRMED",0,1,0,0,0
"shirt|collar|cut_out_fabric|cf-RMC4E094","shirt","RMC4E094",yes,"/images/cut_out_fabric/rmc4e094.jpg","drawing-unverified","DRAWING_UNCONFIRMED",0,1,0,0,0
"shirt|collar|cut_out_fabric|cf-RMC4E095","shirt","RMC4E095",yes,"/images/cut_out_fabric/rmc4e095.jpg","drawing-unverified","DRAWING_UNCONFIRMED",0,1,0,0,0
"shirt|collar|cut_out_fabric|cf-RMC4E189","shirt","RMC4E189",yes,"/images/cut_out_fabric/rmc4e189.jpg","drawing-unverified","DRAWING_UNCONFIRMED",0,1,0,0,0
"shirt|collar|cut_out_fabric|cf-RMC4E190","shirt","RMC4E190",yes,"/images/cut_out_fabric/rmc4e190.jpg","drawing-unverified","DRAWING_UNCONFIRMED",0,1,0,0,0
"shirt|collar|cut_out_fabric|cf-RMC90001","shirt","RMC90001",yes,"/images/cut_out_fabric/rmc90001.jpg","drawing-unverified","DRAWING_UNCONFIRMED",0,1,0,0,0
"shirt|collar|cut_out_fabric|cf-RMC90053","shirt","RMC90053",yes,"/images/cut_out_fabric/rmc90053.jpg","drawing-unverified","DRAWING_UNCONFIRMED",0,1,0,0,0
"shirt|collar|cut_out_fabric|cf-RMC22G233","shirt","RMC22G233",yes,"/images/cut_out_fabric/rmc22g233.jpg","drawing-unverified","DRAWING_UNCONFIRMED",0,1,0,0,0
"shirt|collar|collar_stay|stay-none","shirt","None",yes,"/images/collar_stay/none.jpg","drawing-unverified","DRAWING_UNCONFIRMED",0,3,0,0,0
"shirt|collar|collar_stay|stay-removable","shirt","Removable",yes,"/images/blueprints/baoxiniao/shirt/RELCL/B.jpg","drawing-unverified","DRAWING_UNCONFIRMED|EXTERNAL_WEB_PHOTO",0,6,1,0,4
"shirt|collar|collar_stay|stay-fixed","shirt","Fixed (Permanent)",yes,"/images/collar_stay/fixed.jpg","drawing-unverified","DRAWING_UNCONFIRMED",0,3,0,0,0
"shirt|collar|collar_stay|stay-hidden-btn","shirt","Hidden Button (No Stay)",yes,"/images/collar_stay/hidden-button-no-collar-stay.jpg","drawing-unverified","DRAWING_UNCONFIRMED|EXTERNAL_WEB_PHOTO",0,1,0,0,2
"shirt|collar|collar_linings|col-lining-normal","shirt","Normal",yes,"/images/collar_linings/collar-linings-normal.jpg","drawing-unverified","DRAWING_UNCONFIRMED",0,1,0,0,0
"shirt|collar|collar_linings|col-lining-soft","shirt","Soft",yes,"/images/collar_linings/collar-linings-soft.jpg","drawing-unverified","DRAWING_UNCONFIRMED",0,1,0,0,0
